Ticker,Date,Close,Volume,Stock Splits,Name,Sector
"1605.T","2025-03-27 00:00:00+09:00",2056.677,5656400,0.000,"Inpex Corporation","Energy"
"1605.T","2025-03-28 00:00:00+09:00",2028.365,5823200,0.000,"Inpex Corporation","Energy"
"1605.T","2025-03-31 00:00:00+09:00",1974.621,7259000,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-01 00:00:00+09:00",1996.695,6042400,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-02 00:00:00+09:00",1949.668,5356600,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-03 00:00:00+09:00",1899.763,8778400,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-04 00:00:00+09:00",1801.872,13359100,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-07 00:00:00+09:00",1630.562,17118100,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-08 00:00:00+09:00",1709.739,10847200,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-09 00:00:00+09:00",1605.129,15481300,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-10 00:00:00+09:00",1720.296,11055500,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-11 00:00:00+09:00",1702.061,9865900,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-14 00:00:00+09:00",1697.742,5909800,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-15 00:00:00+09:00",1717.417,4136300,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-16 00:00:00+09:00",1694.863,5698900,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-17 00:00:00+09:00",1730.853,5214600,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-18 00:00:00+09:00",1783.637,5177400,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-21 00:00:00+09:00",1748.607,4264800,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-22 00:00:00+09:00",1747.168,4309700,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-23 00:00:00+09:00",1758.685,5738600,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-24 00:00:00+09:00",1731.332,8710700,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-25 00:00:00+09:00",1743.329,5689500,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-28 00:00:00+09:00",1751.487,5230300,0.000,"Inpex Corporation","Energy"
"1605.T","2025-04-30 00:00:00+09:00",1736.131,9319100,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-01 00:00:00+09:00",1747.168,5879900,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-02 00:00:00+09:00",1750.527,6995500,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-07 00:00:00+09:00",1738.051,8784900,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-08 00:00:00+09:00",1726.054,5538500,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-09 00:00:00+09:00",1755.805,6107800,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-12 00:00:00+09:00",1786.516,6737400,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-13 00:00:00+09:00",1815.308,10087800,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-14 00:00:00+09:00",1847.458,9380900,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-15 00:00:00+09:00",1835.942,6648500,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-16 00:00:00+09:00",1813.388,5122600,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-19 00:00:00+09:00",1809.550,3578100,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-20 00:00:00+09:00",1802.832,3905400,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-21 00:00:00+09:00",1849.378,7352700,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-22 00:00:00+09:00",1823.465,4758700,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-23 00:00:00+09:00",1809.550,4122100,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-26 00:00:00+09:00",1826.345,2745700,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-27 00:00:00+09:00",1837.381,2331800,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-28 00:00:00+09:00",1838.341,3955300,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-29 00:00:00+09:00",1875.290,5547400,0.000,"Inpex Corporation","Energy"
"1605.T","2025-05-30 00:00:00+09:00",1872.891,6496900,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-02 00:00:00+09:00",1872.411,4215100,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-03 00:00:00+09:00",1896.884,5288700,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-04 00:00:00+09:00",1900.243,6188300,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-05 00:00:00+09:00",1882.968,4302900,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-06 00:00:00+09:00",1895.444,3632600,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-09 00:00:00+09:00",1910.320,3838900,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-10 00:00:00+09:00",1932.394,5965800,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-11 00:00:00+09:00",1950.628,4607900,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-12 00:00:00+09:00",1977.980,7964600,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-13 00:00:00+09:00",2037.003,22589600,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-16 00:00:00+09:00",2028.845,13968200,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-17 00:00:00+09:00",2029.325,8651800,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-18 00:00:00+09:00",2072.992,13026100,0.000,"Inpex Corporation","Energy"
"1605.T","2025-06-19 00:00:00+09:00",2067.714,6632300,0.000,"Inpex Corporation","Energy"
